"stat","title","type","colorable","min","max","section","parent","sourceName","sourceURL","show","units"
"name","Name","verbose","FALSE","","","Naming","","U.S. Department of State","https://www.state.gov/s/inr/rls/4250.htm","false",""
"railways","Railways","number","TRUE","0","","Infrastructure","","CIA World Factbook","https://www.cia.gov/library/publications/resources/the-world-factbook/rankorder/2121rank.html","true","km"
"id","ID","code","FALSE","","","Naming","","U.S. Department of State","https://www.state.gov/s/inr/rls/4250.htm","false",""
"medianAge","Median Age","number","TRUE","","","Demographics","","CIA World Factbook","https://www.cia.gov/library/publications/the-world-factbook/rankorder/2177rank.html","true",""
"internetUsers","Internet Users","number","TRUE","","","Infrastructure","","CIA World Factbook","https://www.cia.gov/library/publications/the-world-factbook/rankorder/2153rank.html","true",""
"airports","Airports","number","TRUE","","","Infrastructure","","CIA World Factbook","https://www.cia.gov/library/publications/the-world-factbook/rankorder/2053rank.html","true",""
"militaryBudgetGDP","Military Budget as Percent GDP","percent","TRUE","","","Economy","","CIA World Factbook","https://www.cia.gov/library/publications/the-world-factbook/rankorder/2034rank.html","true",""
"electricityConsumption","Electricity Consumption","number","TRUE","","","Economy","","CIA World Factbook","https://www.cia.gov/library/publications/the-world-factbook/rankorder/2233rank.html","true",""
"population","Population","number","TRUE","","","Demographics","","CIA World Factbook","https://www.cia.gov/library/publications/the-world-factbook/rankorder/2119rank.html","true",""
"populationGrowthRate","Population Growth Rate","percent","TRUE","","","Demographics","","CIA World Factbook","https://www.cia.gov/library/publications/the-world-factbook/rankorder/2002rank.html","true",""
"unemploymentRate","Unemployment Rate","percent","TRUE","0","1","Economy","","CIA World Factbook","https://www.cia.gov/library/publications/the-world-factbook/rankorder/2129rank.html","true",""
"GDPPPPPerCapita","GDP PPP per Capita","currency","TRUE","","","Economy","","CIA World Factbook","https://www.cia.gov/library/publications/the-world-factbook/rankorder/2004rank.html","true",""
"inflationRate","Inflation Rate","percent","TRUE","","","Economy","","CIA World Factbook","https://www.cia.gov/library/publications/the-world-factbook/rankorder/2092rank.html","true",""
"GDPPPP","GDP PPP","currency","TRUE","","","Economy","","CIA World Factbook","https://www.cia.gov/library/publications/the-world-factbook/rankorder/2001rank.html","true",""
"roadways","Miles of Roadways","number","TRUE","","","Infrastructure","","CIA World Factbook","https://www.cia.gov/library/publications/the-world-factbook/rankorder/2085rank.html","true",""
"crudeOilExports","Crude Oil Exports","number","TRUE","","","Economy","","CIA World Factbook","https://www.cia.gov/library/publications/the-world-factbook/rankorder/2242rank.html","true",""
"educationExpendituresPercentGDP","Education Expenditures as Percent GDP","percent","TRUE","","","Economy","","CIA World Factbook","https://www.cia.gov/library/publications/the-world-factbook/rankorder/2206rank.html","true",""
"lifeExpectancyAtBirth","Life Expectancy at Birth","number","TRUE","","","Demographics","","CIA World Factbook","https://www.cia.gov/library/publications/the-world-factbook/rankorder/2102rank.html","true",""
"migrationRate","Migration Rate","percent","TRUE","","","Demographics","","CIA World Factbook","https://www.cia.gov/library/publications/the-world-factbook/rankorder/2112rank.html","true",""
"publicDebt","Public Debt","currency","TRUE","","","Economy","","CIA World Factbook","https://www.cia.gov/library/publications/the-world-factbook/rankorder/2186rank.html","true",""
"cellPhoneUsers","Cell Phone Users","number","TRUE","","","Infrastructure","","CIA World Factbook","https://www.cia.gov/library/publications/the-world-factbook/rankorder/2151rank.html","true",""
"officialName","Official Name","verbose","FALSE","","","Naming","","CIA World Factbook","https://www.state.gov/s/inr/rls/4250.htm","true",""
"capital","Capital","verbose","FALSE","","","Naming","","CIA World Factbook","https://www.state.gov/s/inr/rls/4250.htm","true",""
"region","Region","singleSelect","TRUE","","","Naming","","Pew Research Center via Wikipedia","https://en.wikipedia.org/wiki/Religions_by_country","true",""
"subregion","Subregion","singleSelect","TRUE","","","Naming","","Pew Research Center via Wikipedia","https://en.wikipedia.org/wiki/Religions_by_country","true",""
"merchantShips","Merchant Ships","number","TRUE","","","Economy","","CIA World Factbook","https://www.cia.gov/library/publications/the-world-factbook/rankorder/2108rank.html","true",""
"gini","GINI Index","number","TRUE","","","Economy","","CIA World Factbook","https://www.cia.gov/library/publications/the-world-factbook/rankorder/2172rank.html","true",""
"fragileStates","State Fragility Index","number","TRUE","","","Politics","","Fund for Peace","www.fragilestatesindex.org","true",""
"stateLegitimacy","State Legitimacy Index","rank","TRUE","0","10","Politics","","Fund for Peace","www.fragilestatesindex.org","false",""
"externalIntervention","External Intervention Index","number","TRUE","0","10","Politics","","Fund for Peace","www.fragilestatesindex.org","true",""
"publicServices","Public Services Index","rank","TRUE","0","10","Politics","","Fund for Peace","www.fragilestatesindex.org","false",""
"refugees","Refugees and IDPs Index","number","TRUE","0","10","Demographics","","Fund for Peace","www.fragilestatesindex.org","true",""
"humanRights","Human Rights Index","rank","TRUE","0","10","Politics","","Fund for Peace","www.fragilestatesindex.org","false",""
